mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,266,13,13,20.384615384615383,"{""15"": 2, ""20"": 8, ""25"": 3}",1574.9918054789305,1574.9918054789305,11978.483389131725,1414.146674796939,1549.7848531231284,80.16783418133855,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,257,13,13,19.615384615384617,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1608.7736156769097,1608.7736156769097,12036.586643196642,1447.5857503712177,1584.7523603588343,81.89473999664187,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,250,12,12,20.416666666666668,"{""15"": 2, ""20"": 7, ""25"": 3}",1455.5891770869493,1455.5891770869493,11644.384948071092,1309.7856463864446,1433.1489861942828,75.08932799100876,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,339,17,17,19.705882352941178,"{""5"": 1, ""10"": 1, ""15"": 2, ""20"": 7, ""25"": 6}",2110.2441251277924,2110.2441251277924,14431.495976168662,1887.2398985549808,2075.6090860813856,112.5291045755148,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,262,13,13,20.76923076923077,"{""15"": 1, ""20"": 9, ""25"": 3}",1615.739363245666,1615.739363245666,12441.57352624461,1441.849750932306,1587.964316830039,86.74603933468461,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,270,13,13,20.0,"{""10"": 1, ""15"": 2, ""20"": 6, ""25"": 4}",1613.2267476059496,1613.2267476059496,12350.210323929787,1448.1441979296505,1586.192806251347,82.13810063898563,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1587.1638227254152,1587.1638227254152,12641.74030488357,1421.8971603550017,1560.595542192459,81.47614542394876,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,269,13,13,20.76923076923077,"{""15"": 1, ""20"": 9, ""25"": 3}",1607.4408064596355,1607.4408064596355,12571.030587889254,1440.9688338637352,1581.8982771597803,84.05780280008912,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,281,13,13,21.53846153846154,"{""15"": 1, ""20"": 7, ""25"": 5}",1584.6871631219983,1584.6871631219983,12562.454621773213,1425.9688314050436,1557.7080571092665,78.85116478428245,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,282,14,14,20.357142857142858,"{""15"": 2, ""20"": 9, ""25"": 3}",1723.2419261708856,1723.2419261708856,13466.946626082063,1543.6100899241865,1693.8879783265293,88.31935003399849,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,277,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1732.8194710426033,1732.8194710426033,13218.001232016832,1550.3216716460884,1705.109457951039,88.30678788945079,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,288,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1728.7762202322483,1728.7762202322483,13249.329302925617,1549.6551687829196,1700.7561335340142,91.46006777882576,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,360,18,18,19.72222222222222,"{""5"": 1, ""15"": 3, ""20"": 9, ""25"": 5}",2190.7641757279634,2190.7641757279634,14280.835486017168,1966.8771945871413,2156.847766600549,112.72506974637508,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,281,14,14,19.642857142857142,"{""15"": 4, ""20"": 7, ""25"": 3}",1704.1685804724693,1704.1685804724693,12411.26877721399,1528.2140099443495,1676.8291830085218,88.06838421151042,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,340,340,1,0,274,13,13,21.153846153846153,"{""15"": 1, ""20"": 8, ""25"": 4}",1580.7229904457927,1580.7229904457927,12335.196900181472,1417.8245118819177,1557.7335208654404,79.33013001456857,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_history,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,505,27,27,18.51851851851852,"{""5"": 4, ""15"": 3, ""20"": 13, ""25"": 7}",3210.6502135284245,3210.6502135284245,17653.100283816457,2891.6937494650483,3161.144634708762,162.62815427035093,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,280,14,14,20.0,"{""5"": 1, ""15"": 1, ""20"": 8, ""25"": 4}",1726.810127031058,1726.810127031058,12187.442482914776,1542.3867302015424,1698.4484675340354,91.85276366770267,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,341,341,1,0,285,14,14,20.0,"{""5"": 1, ""15"": 2, ""20"": 6, ""25"": 5}",1698.7621900625527,1698.7621900625527,12415.520637761801,1526.1211250908673,1671.3265753351152,89.17200705036521,nan,nan,nan,nan,nan,nan,nan,nan,nan
