mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,253,13,13,19.23076923076923,"{""5"": 1, ""15"": 2, ""20"": 7, ""25"": 3}",1598.6456079408526,1598.6456079408526,11650.890457909554,1432.3697253130376,1573.1158126145601,82.81900407746434,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_visual_query,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,259,13,13,19.615384615384617,"{""15"": 3, ""20"": 8, ""25"": 2}",1619.1636649891734,1619.1636649891734,11901.217062026262,1453.68539262563,1591.8477256782353,81.75970846787095,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_expert_hidden,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,336,336,1,0,249,12,12,20.416666666666668,"{""10"": 1, ""15"": 1, ""20"": 6, ""25"": 4}",1504.229970742017,1504.229970742017,11595.15926707536,1348.680046852678,1479.8659225925803,78.61475739628077,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_expert_hidden,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,305,15,15,20.0,"{""10"": 1, ""15"": 3, ""20"": 6, ""25"": 5}",1882.9834633506835,1882.9834633506835,13182.340244296938,1689.594907220453,1853.7249946966767,103.90439908951521,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_visual_query,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,266,13,13,20.0,"{""15"": 4, ""20"": 5, ""25"": 4}",1630.0091720186174,1630.0091720186174,12269.79922503233,1463.5419100522995,1603.2720245420933,82.58029911667109,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,337,337,1,0,339,17,17,19.705882352941178,"{""10"": 1, ""15"": 3, ""20"": 9, ""25"": 4}",2088.9814174734056,2088.9814174734056,14159.405964892358,1874.5266101323068,2057.0628861896694,108.985576312989,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,273,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1606.3033263199031,1606.3033263199031,12517.208297271281,1438.7596263550222,1581.2416323460639,82.38817472010851,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_visual_query,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,272,13,13,20.76923076923077,"{""15"": 4, ""20"": 3, ""25"": 6}",1620.726827532053,1620.726827532053,12690.946388058364,1458.6608465760946,1593.003440182656,82.99682196229696,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_expert_hidden,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,338,338,1,0,266,13,13,20.76923076923077,"{""15"": 2, ""20"": 7, ""25"": 4}",1628.6651911213994,1628.6651911213994,12378.510903101414,1457.2846395894885,1604.6910155564547,86.5586306899786,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_expert_hidden,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,339,339,1,0,287,15,15,19.666666666666668,"{""15"": 4, ""20"": 8, ""25"": 3}",1882.4809789657593,1882.4809789657593,13425.715174060315,1686.61076342687,1855.4028351791203,100.6368538364768,nan,nan,nan,nan,nan,nan,nan,nan,nan
